ownership_date,committer_id,ownership_count_90,ownership_count_80,ownership_count_70,commits_since_last_date,num_changed_loc_since_last_date,active_since_last_date,ownership_count_simple_majority,total_num_files_committed_to_so_far,num_files_committed_to_since_last_date,total_commits_so_far,minority_contributor_count,ownership_count_100
2007-08-07 22:39:26,65,0,0,0,3,6,t,0,2,1,6,1,0
2007-08-07 22:39:26,76,33,46,50,847,37337,t,100,298,205,656,13,33
2007-08-07 22:39:26,52,37,37,38,48,954,t,47,185,11,61,17,37
2007-08-07 22:39:26,20,0,0,0,0,0,f,0,3,0,3,3,0
2007-08-07 22:39:26,44,30,34,48,0,0,f,95,524,0,164,43,30
2007-08-07 22:39:26,7,0,0,0,0,0,f,0,8,0,3,0,0
2008-11-02 19:24:20,43,23,23,23,228,11924,t,76,287,43,350,63,23
2008-11-02 19:24:20,8,16,17,17,296,18762,t,47,181,121,176,28,16
2008-11-02 19:24:20,11,0,0,0,4,12,t,0,2,2,4,1,0
2008-11-02 19:24:20,39,13,13,13,0,0,f,76,172,0,27,46,13
2008-11-02 19:24:20,16,0,0,0,28,240,t,4,115,5,58,23,0
2008-11-02 19:24:20,54,0,0,0,8,18,t,1,12,3,71,1,0
2008-11-02 19:24:20,3,0,0,0,0,0,f,13,66,0,51,31,0
2008-11-02 19:24:20,61,0,0,0,0,0,f,0,2,0,2,2,0
2008-11-02 19:24:20,67,0,0,0,18,490,t,3,16,9,19,7,0
2008-11-02 19:24:20,14,0,0,0,0,0,f,1,4,0,15,2,0
2008-11-02 19:24:20,46,0,0,0,14,168,t,0,9,9,4,8,0
2008-11-02 19:24:20,48,11,15,24,0,0,f,178,230,0,18,0,11
2008-11-02 19:24:20,28,3713,3801,3921,8,44,t,5327,7067,4,769,175,3698
2008-11-02 19:24:20,17,0,0,0,2,2,t,0,2,1,5,2,0
2008-11-02 19:24:20,36,726,762,869,0,0,f,2358,3549,0,511,106,725
2008-11-02 19:24:20,15,0,0,0,4,94,t,0,1,1,4,1,0
2008-11-02 19:24:20,66,0,0,2,8,44,t,26,145,6,67,42,0
2008-11-02 19:24:20,77,0,0,0,0,0,f,0,5,0,4,3,0
2008-11-02 19:24:20,30,97,108,119,830,27626,t,191,502,85,682,94,86
2008-11-02 19:24:20,4,0,0,0,0,0,f,0,1,0,1,0,0
2008-11-02 19:24:20,50,129,130,130,1238,167172,t,313,836,836,56,19,129
2008-11-02 19:24:20,73,5720,5725,5727,1784,188437,t,5764,5923,1413,299,31,5719
2008-11-02 19:24:20,40,15,19,19,412,26418,t,107,408,131,399,30,15
2008-11-02 19:24:20,53,0,0,0,0,0,f,0,1,0,1,1,0
2008-11-02 19:24:20,62,0,0,0,6,88,t,0,3,3,4,3,0
2008-11-02 19:24:20,19,1,1,1,46,10860,t,3,38,24,43,17,1
2008-11-02 19:24:20,57,9,9,9,294,10634,t,26,88,88,96,27,9
2008-11-02 19:24:20,51,7,7,7,128,7991,t,67,453,55,332,53,7
2008-11-02 19:24:20,23,0,0,0,4,18,t,0,2,2,2,1,0
2008-11-02 19:24:20,31,1,1,1,0,0,f,39,118,0,42,28,1
2008-11-02 19:24:20,35,4,4,4,44,1938,t,10,16,16,28,2,4
2008-11-02 19:24:20,65,0,0,0,0,0,f,0,2,0,6,1,0
2008-11-02 19:24:20,76,16,19,29,1189,66245,t,285,666,448,1113,40,16
2008-11-02 19:24:20,52,37,37,38,0,0,f,52,185,0,61,17,37
2008-11-02 19:24:20,20,0,0,0,0,0,f,0,3,0,3,3,0
2008-11-02 19:24:20,44,30,34,48,0,0,f,123,524,0,164,43,30
2008-11-02 19:24:20,34,20,21,30,90,2122,t,163,286,39,304,15,20
2008-11-02 19:24:20,25,0,0,0,336,30172,t,8,17,16,213,2,0
2008-11-02 19:24:20,12,0,0,0,0,0,f,0,2,0,1,0,0
2008-11-02 19:24:20,58,4501,4502,4502,846,302406,t,4534,4647,4647,168,70,4501
2008-11-02 19:24:20,1,3780,3780,3780,0,0,f,3798,3805,0,18,3,3780
2008-11-02 19:24:20,10,0,0,0,4,10,t,0,2,2,4,0,0
2008-11-02 19:24:20,26,76,82,97,1368,93160,t,304,958,487,797,46,76
2008-11-02 19:24:20,42,0,1,1,0,0,f,1,6,0,9,0,0
